"","Gogo","Noddy","Ganesh Gaitonde","Voldemort","PB","Phoebe Buffay","Shiro","Augustus","Mr. White","Yatin ","Wonder Woman","Phantom","Red skull ","Bojack","Steven Gerrard","Michael Scott","Scout","Peter Griffin","Harry Potter","Creed","Thor","Scrooge","Chandler","Captain Marvel","Moonface","Krims","Aragorn","Naruto","Morty","Joey ","Eowyn","APS","Rey","RB","Heisenberg","Archer","Athena","Chandler","Nick","Sheldon","sovereign42","Mojo","Batman","Emily","Yoda","Chandlerr","Thanos","Fool of a Took","Tweety","SG","Ravenclaw","Madonna","Kite","kokilaben","Pablo Escobar","Tyrion","Rumi","Shelby","Joker","Mr. Wick","Kyo","Scrooge","Storm_Breaker","PK","Ashy_Drongo","Saitama","Shikaari Shambhu","Pepper","Madara Uchiha","Sansa","Vincent Vega","bira91","Donna Paulson","dragomir","SHERLOCK","Pickle Rick","Gina","Popeye ","Diana","lily","Gordon","Sheldon","Anups","Peter Parker","Pingu","Sherlock","Jack Reacher","EthanHunt","Rick and Morty","Moana","Agnes","Amy Santiago","Pikachu","Groot","Batman ","Amy Dunne","gojira","Hachi","Joker","Donna","Shinchan","Sheldon","Dumbledore","Enola","Batman","Joker","black","Balloo","Sirius","Aragorn_son_of_Arathorn_Heir_of_Isildur","Bubbles","princess mia","Harvey","Nuance","Ammu","Master GoGo","John Wick","Jerry","Munna Tripathi","Shushree","Mulan","Louis","Daniels","John Wick","Batman","Blossom","Phelps","po","Bruce Wayne","Rick","teja","Bumblebee","Butcher","Eisenheim","Sri","Iron Man","Lisa","Professor_X","SS","Bonbon","Shiro","Monica","Gandaldore","MBB Shortlist","Ace","Tattler","Pikachu","Noddy","Stan Lee","Thor","kira","Suppandi","Calvin","Tom","Slash","Dante","Penny","Cactus","Midge Maisel","Baburao","Raymond Reddington","flora","jaquen ha'ghar","Bubbles","Ava","Jean Grey","Venom","Heisenberg","Hermy","Lisbeth","Katniss","Gogo Yubari","Veronica","Shaktiman","Maximus","Argetlam","Baburao","Jessica","Venom","Zeus","Janet","Dark Knight","vr46","Piku","Dr House","Jaanu","Rachel","Scooby","Leia","Monica","Santiago","Fluffy","Donna","Jerry ","Arjuna","Hulk","Shelby","Naruto","Govinda","Don Draper","Katniss","Shelby","MS","Ptolemy","Sim","Shrek","boredtodeath","Buttercup","Quinn","Snowball","Nagin","Jerry","Mr. Spock","spider man","Shah Ghouse","momo","Phoebe","Pikachu","Tony","Grace","Eli","Beth","Quinn","Katniss","Ox","Obelix","Vito_Corleone","Celine","Kendall Roy","Legolas","Sheldon99","LBee","Luna Lovegood","Flash","Darcy","Bubbles","Chacha Chaudhary","Dexter","Rocket","Bubbles","Hobbes"
"Gogo",0,3,5,5,3,6,4,5,3,4,5,2,4,3,4,4,3,3,4,4,3,4,4,3,6,3,3,7,3,3,4,2,5,4,4,2,3,4,4,3,3,3,3,5,5,2,4,3,3,3,7,3,2,3,2,2,4,1,5,2,2,4,3,6,2,4,3,4,4,3,3,3,4,3,2,2,2,2,2,2,3,4,4,3,4,1,2,2,2,1,2,3,1,3,2,3,1,2,2,3,2,2,2,6,3,5,4,6,2,2,2,2,3,2,4,2,5,3,2,2,2,2,3,1,1,3,3,2,1,3,3,1,2,1,0,2,3,5,1,3,1,4,1,1,5,3,1,1,3,1,2,2,1,2,2,1,4,2,0,1,3,1,1,3,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,0,1,1,2,2,3,2,1,1,2,0,1,1,1,1,0,1,0,1,1,1,0,0,0,2,1,2,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0
"Noddy",3,0,5,6,3,2,2,4,2,2,3,5,3,3,4,3,5,2,3,3,3,3,2,3,2,5,2,0,2,5,3,3,2,2,3,5,4,3,2,3,2,2,2,2,2,1,2,4,5,3,1,4,4,3,3,3,1,3,1,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,3,4,0,1,3,1,1,2,1,1,3,2,3,4,1,2,1,2,1,4,2,1,2,2,1,1,3,0,2,2,3,0,2,3,2,3,2,1,0,4,0,1,1,2,2,1,1,4,2,2,2,2,4,2,2,0,2,2,0,3,0,0,2,1,1,1,1,2,0,2,2,5,1,1,3,3,3,0,0,2,1,2,2,1,2,1,3,2,0,1,1,2,3,3,2,1,3,4,1,0,1,2,2,1,1,2,1,2,0,0,2,1,0,1,2,1,1,1,1,2,2,1,0,2,2,0,3,1,4,0,1,0,1,1,1,2,3,2,3,1,1,0,2,1,0,1,2,1,0,2,2,0,0,0,3,0,1,0,1,1,1,0,1,0,0
"Ganesh Gaitonde",5,5,0,3,3,3,2,3,3,3,3,5,4,2,3,4,6,3,3,2,2,4,3,4,2,2,2,2,4,4,3,2,3,2,4,5,3,4,2,2,3,1,3,4,3,1,1,2,6,2,3,3,2,3,4,2,1,2,2,2,3,2,1,3,3,3,2,1,3,3,3,1,1,2,1,3,3,3,1,3,2,1,3,1,3,3,2,3,2,4,1,3,1,2,2,4,2,1,2,1,1,1,1,2,3,2,4,2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,1,2,2,3,2,2,2,1,2,0,3,2,2,2,1,2,1,1,2,3,1,1,1,3,2,3,1,1,1,1,2,1,3,1,1,3,4,2,0,2,3,2,0,1,1,2,1,4,1,0,3,1,2,1,1,0,1,1,1,2,1,2,1,0,1,1,0,2,1,0,1,1,0,1,2,0,2,1,2,2,2,1,2,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"Voldemort",5,6,3,0,4,5,4,6,3,3,4,2,3,4,6,3,3,4,4,3,5,2,3,1,4,5,3,3,3,3,4,2,4,5,2,2,4,3,4,3,4,5,2,4,3,2,4,4,2,4,3,4,4,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,4,2,2,4,3,3,4,2,1,2,1,1,4,2,2,4,2,1,5,2,3,1,2,2,2,2,1,2,2,2,2,1,2,1,1,2,2,1,2,2,4,3,2,2,3,1,2,2,2,2,1,2,2,1,3,1,1,2,2,2,1,3,2,1,2,1,0,2,1,2,2,1,1,2,1,1,2,2,1,1,1,2,2,2,2,0,1,1,2,2,0,1,1,0,1,2,1,1,1,1,1,1,2,1,2,4,1,1,1,0,1,3,1,2,2,1,1,2,1,2,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,2,0,0,0,0,1,1,0,1,2,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"PB",3,3,3,4,0,4,4,3,5,5,4,3,3,6,4,3,3,5,4,4,5,4,3,2,3,4,5,3,5,3,4,4,2,3,3,3,2,3,3,3,5,5,4,2,3,3,4,4,2,2,1,2,3,2,2,4,2,4,2,3,3,1,3,2,3,4,2,3,2,2,2,4,2,2,2,2,1,3,2,2,2,2,1,2,2,2,2,2,3,1,2,2,2,1,2,2,4,4,3,1,4,2,1,2,2,2,1,2,2,2,1,2,1,2,3,1,2,1,1,2,2,3,3,2,2,1,1,2,2,3,1,1,2,2,1,2,1,1,2,1,3,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,0,1,1,1,1,0,1,0,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,0,1,2,1,0,1,1,1,1,1,1,0,2,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Phoebe Buffay",6,2,3,5,4,0,5,4,3,4,4,2,2,4,5,3,2,5,4,3,3,3,2,2,4,3,4,6,3,2,4,2,5,3,3,3,2,2,3,3,5,5,2,3,2,3,4,3,1,2,4,2,2,2,1,3,2,1,4,2,4,1,3,4,2,4,3,1,1,2,2,3,3,1,2,1,1,2,1,2,2,2,2,2,2,1,2,1,2,1,1,3,1,1,2,3,1,3,2,1,3,2,1,4,3,4,3,4,1,2,1,1,2,2,3,2,3,2,1,2,2,2,4,1,2,2,2,2,1,1,3,2,1,1,1,1,1,3,1,2,2,3,2,1,3,1,2,2,2,1,2,1,1,2,1,2,3,1,0,2,1,0,1,0,2,0,1,2,1,1,1,2,1,1,1,2,1,0,1,0,1,1,2,1,3,0,0,2,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Shiro",4,2,2,4,4,5,0,4,3,5,3,3,2,4,3,2,2,4,4,3,2,2,2,3,5,3,5,4,3,2,3,3,5,2,2,2,2,2,2,2,3,4,4,4,2,3,5,3,1,2,4,2,2,2,1,3,2,1,2,2,3,1,5,2,2,3,2,2,1,3,1,3,2,1,4,2,1,2,2,1,2,3,1,2,2,3,2,1,2,2,1,3,1,1,1,1,1,3,2,1,2,2,1,2,3,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,1,4,1,2,1,1,2,1,1,2,0,1,1,0,1,1,2,2,1,2,2,2,1,2,1,1,1,3,2,2,2,2,2,1,2,2,2,1,2,2,1,3,0,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,0,1,1,2,1,3,0,0,2,0,0,1,1,2,1,0,1,1,3,0,1,0,2,0,2,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0
"Augustus",5,4,3,6,3,4,4,0,3,3,4,2,3,3,3,3,4,3,4,3,3,2,3,2,3,4,3,3,3,4,3,1,3,2,2,2,4,4,4,2,2,3,2,4,3,2,3,3,2,5,3,4,3,3,1,3,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,1,2,2,1,2,1,1,4,2,3,2,1,1,3,4,2,1,1,2,1,2,3,1,1,1,2,1,1,1,1,2,2,1,2,2,2,3,2,3,2,0,3,2,2,2,3,2,2,1,3,1,1,2,3,4,1,1,2,0,2,1,0,2,1,3,1,1,1,2,2,1,2,2,1,1,1,0,2,1,2,0,1,1,2,3,0,1,1,0,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,0,1,0,1,2,2,1,1,0,1,1,1,0,1,0,1,2,0,1,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,1,2,0,0,1,0,0,0,0,0
"Mr. White",3,2,3,3,5,3,3,3,0,4,3,5,3,4,4,3,5,4,4,4,3,4,4,4,3,4,4,2,3,3,2,2,2,3,2,3,2,3,2,5,2,2,4,2,2,2,2,3,2,4,1,2,2,3,2,3,2,4,2,3,2,1,2,2,4,2,2,2,2,1,2,3,1,2,2,2,1,3,2,3,2,2,1,2,1,2,2,4,3,1,1,2,2,1,2,1,4,2,4,1,2,2,1,1,2,1,0,1,2,2,1,2,1,2,2,1,1,1,1,2,1,3,1,2,1,1,1,2,2,1,1,3,2,2,3,2,1,1,2,1,2,1,3,1,1,1,2,1,1,0,1,1,2,0,2,1,2,0,0,1,1,3,1,0,2,1,2,0,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,1,1,0,0,0,1,1,2,0,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"Yatin ",4,2,3,3,5,4,5,3,4,0,5,3,3,4,3,3,3,5,4,3,2,4,2,3,3,3,4,4,4,3,3,3,2,2,2,3,1,4,2,2,4,4,3,2,2,5,3,3,2,2,1,2,2,2,1,4,2,2,2,2,3,1,3,2,3,3,2,1,2,2,2,2,1,1,2,4,1,3,2,2,2,3,1,2,1,3,2,2,2,1,1,2,2,3,2,1,2,3,3,1,2,1,1,1,2,2,1,1,2,2,3,2,1,1,1,2,1,1,1,2,2,3,2,2,3,1,1,2,2,1,1,0,2,2,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1,2,3,2,1,1,2,0,1,2,1,1,0,1,0,1,1,1,1,2,2,1,1,1,1,1,1,1,0,2,3,1,1,1,0,0,2,0,0,1,0,1,1,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2,0
